filename,store,put,wrtmp,loadg,storeg,cas,sucessors,predecessors
gcc_coreutils8.31_O3_fold,2872,16370,21294,0,0,0,2886,2886
gcc_coreutils8.31_O0_base32,1901,9978,17337,0,0,0,2347,2347
gcc_coreutils8.31_O3_timeout,3113,16992,22363,0,0,0,3115,3115
gcc_coreutils8.31_O0_unlink,1432,6943,11811,0,0,0,1545,1545
gcc_coreutils8.31_O0_basename,1453,7241,12246,0,0,0,1630,1630
gcc_coreutils8.31_O1_hostid,1064,5621,9491,0,0,0,1373,1373
gcc_coreutils8.31_O0_ptx,7152,49099,93276,0,0,0,12165,12165
gcc_coreutils8.31_O0_printf,1956,9706,17301,0,0,0,2306,2306
gcc_coreutils8.31_O2_ls,4740,37595,68587,0,0,0,9467,9467
gcc_coreutils8.31_O2_mknod,1301,8686,13938,0,0,0,1944,1944
gcc_coreutils8.31_O3_uptime,3489,20366,30208,0,0,0,3935,3935
gcc_coreutils8.31_O2_sha512sum,1854,11591,22824,0,0,0,2476,2476
gcc_coreutils8.31_O1_users,1165,6145,10353,0,0,0,1528,1528
gcc_coreutils8.31_O2_cat,1383,8263,12678,0,0,0,1852,1852
gcc_coreutils8.31_O1_sha512sum,1592,9568,20938,0,0,0,2373,2373
gcc_coreutils8.31_O2_du,7733,58424,101152,0,0,0,14772,14772
gcc_coreutils8.31_O3_chcon,4312,26548,38120,0,0,0,5843,5843
gcc_coreutils8.31_O3_who,3679,21363,30165,0,0,0,4308,4308
gcc_coreutils8.31_O0_expr,6276,43002,83303,0,0,0,10395,10395
gcc_coreutils8.31_O3_du,10469,75443,128863,0,0,0,18706,18706
gcc_coreutils8.31_O2_hostid,1185,6909,10543,0,0,0,1430,1430
gcc_coreutils8.31_O1_seq,1936,12174,23003,0,0,0,3348,3348
gcc_coreutils8.31_O0_id,2043,10187,18028,0,0,0,2605,2605
gcc_coreutils8.31_O3_fmt,3128,18520,27057,0,0,0,3484,3484
gcc_coreutils8.31_O1_unlink,1072,5676,9570,0,0,0,1392,1392
gcc_coreutils8.31_O0_groups,1625,7926,13899,0,0,0,1870,1870
gcc_coreutils8.31_O0_sleep,1580,7763,13261,0,0,0,1741,1741
gcc_coreutils8.31_O2_realpath,1779,12450,19222,0,0,0,2814,2814
gcc_coreutils8.31_O3_link,2753,15009,19190,0,0,0,2502,2502
gcc_coreutils8.31_O0_base64,1868,9636,16555,0,0,0,2267,2267
gcc_coreutils8.31_O2_factor,3096,18565,31874,0,0,0,4461,4461
gcc_coreutils8.31_O2_fmt,1535,9966,16491,0,0,0,2253,2253
